"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0.0560327569643656
"7",0.266155560811361
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0.0535200536251068
"17",0
"18",0
"19",1.47584244940016
"20",0.806326241956817
"21",0.301176044676039
"22",0
"23",2.04371844397651
"24",1.3028722471661
"25",0
"26",0
"27",0
"28",0.063036839167277
"29",0.0980573097864787
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",4.19091754489475
"40",0
"41",0.449273533291287
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0.13307778040568
"50",0
"51",0.262995931837294
"52",0.4310046699312
"53",0.143563045395745
"54",0.125208765268326
"55",0.0210122813781102
"56",1.81779925028483
"57",0
"58",0.0152044147253036
"59",1.46227125326792
"60",1.90815713670519
"61",2.43451624446445
"62",0.281643973456489
"63",7.70504400465224
"64",0.246230590674612
"65",0
"66",1.07614713244968
"67",1.67031770282322
"68",18.8616239759657
"69",10.5265125698513
"70",10.2583317226834
"71",12.8562901814779
"72",5.13005850050184
"73",28.2248145209418
"74",11.2996283637153
"75",6.05931006537543
"76",5.93272675408257
"77",4.93149333530002
"78",0.725525644090441
"79",5.20656818813748
"80",6.47344059414334
"81",6.17603174845378
"82",4.80713250901964
"83",7.43241755167643
"84",6.09610472785102
"85",2.24205515119765
"86",2.78099695841471
"87",5.98797819349501
"88",4.16722710927327
"89",7.37242274814182
"90",23.6033265855577
"91",24.5102140638563
"92",14.2196451822917
"93",23.662341647678
"94",2.05408679114448
"95",1.28972000545926
"96",5.52587721082899
"97",2.51413122812907
"98",2.06940348943075
"99",3.39375178019206
"100",2.54575167761909
"101",2.26327652401394
"102",0.681867678960164
"103",2.74006695217556
"104",3.10884099536472
"105",1.01963906817966
"106",0.861503548092312
"107",1.09585740168889
"108",2.60407055748834
"109",1.12719943788317
"110",1.24617025587294
"111",0.527316749095917
"112",3.69546232952012
"113",2.31633514828152
"114",0.297328624460432
"115",3.42183589935303
"116",14.0985433790419
"117",12.8240047030979
"118",10.5425067477756
"119",10.7110652923584
"120",4.7689610587226
"121",16.6356650458442
"122",7.6316221025255
"123",4.34582800335354
"124",3.98229842715793
"125",1.06909456517961
"126",5.76449807484945
"127",1.10638025071886
"128",2.26260005103217
"129",2.26755073335436
"130",1.943772315979
"131",3.43522951338026
"132",16.6773825751411
"133",13.6991780598958
"134",15.200383928087
"135",23.7655342949761
"136",20.9856550428602
"137",14.0265931023492
"138",2.76890235477024
"139",2.32033856709798
"140",0.61132894621955
"141",1.510657787323
"142",0.639553149541219
"143",0.535966455936432
"144",2.77197286817763
"145",0.636294563611349
"146",0.523893409305149
"147",0.161094162199232
"148",1.25373278723823
"149",0.268233643637763
"150",0.445845815870497
"151",0.314687935842408
"152",0.453299939632416
"153",1.99244331982401
"154",4.77474053700765
"155",0.741611003875732
"156",1.49187193976508
"157",0
"158",0.644704553816054
"159",2.55955123901367
"160",0.668682760662503
"161",2.826672050688
"162",15.834481133355
"163",6.82208485073513
"164",2.27623393800524
"165",1.62327226003011
"166",3.18848027123345
"167",2.31047248840332
"168",2.44746107525296
"169",0.642114917437235
"170",0.129568537076314
"171",0.0575361417399512
"172",1.42580540974935
"173",5.86905437045627
"174",0.063036839167277
"175",0.0213302224874496
"176",0
"177",0.052852095829116
"178",0
"179",0.0187320162852605
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0.0354405542214712
"186",0.145671410693063
"187",0.203118721644084
"188",0
"189",0.13307778040568
"190",2.05920346577962
"191",0
"192",1.00858942667643
"193",2.55712795257568
"194",0.125899331437217
"195",1.97860444916619
"196",0.797282377878825
"197",0
"198",0.364212857352363
"199",0
"200",6.23469797770182
"201",1.18491956922743
"202",2.58435053295559
"203",0.789009484979841
"204",0.308907455868191
"205",0.142436703046163
"206",0.989293628268772
"207",2.40429369608561
"208",1.30955791473389
"209",1.09205167823368
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0.0354405542214712
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0.759042739868164
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0.231641875372993
"233",0
"234",0
"235",0
"236",0.165389246410794
"237",0.224987732039558
"238",0
"239",0
"240",0
"241",0
"242",1.73658710055881
"243",5.43148401048448
"244",0.0379121229052544
