
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1941"	"2.424"	"22.607"	"65.626"	"337.198"	"821.666"	"956.571"	"452.57"	"418.049"	"416.177"	"218.032"	"13.086"	"4.122"
"1942"	"7.859"	"23.214"	"140.723"	"230.11"	"466.064"	"755.737"	"380.278"	"654.421"	"737.024"	"20.805"	"4.357"	"0"
"1943"	"14.784"	"17.808"	"193.53"	"361.087"	"606.796"	"614.696"	"642.659"	"468.537"	"619.054"	"62.835"	"9.633"	"2.814"
"1944"	"34.673"	"6.496"	"54.918"	"80.387"	"837.612"	"439.899"	"364.262"	"381.21"	"388.284"	"74.734"	"3.617"	"1.376"
"1945"	"39.742"	"18.893"	"83.372"	"196.851"	"531.901"	"820.096"	"676.854"	"586.885"	"240.964"	"237.917"	"0.32"	"0.81"
"1946"	"0"	"19.637"	"101.85"	"161.005"	"495.178"	"752.354"	"592.53"	"392.349"	"433.368"	"608.872"	"17.658"	"0"
"1947"	"0.467"	"1.376"	"89.372"	"265.242"	"564.806"	"783.378"	"993.445"	"474.133"	"418.343"	"207.312"	"0.902"	"6.026"
"1948"	"1.213"	"10.038"	"43.71"	"279.424"	"1194.381"	"651.502"	"680.246"	"515.403"	"301.029"	"353.952"	"60.294"	"0.302"
"1949"	"12.483"	"9.099"	"31.424"	"434.183"	"561.257"	"789.832"	"505.091"	"734.03"	"829.812"	"144.853"	"5.659"	"0.66"
"1950"	"1.507"	"28.53"	"61.755"	"83.051"	"300.324"	"888.34"	"624.332"	"659.712"	"102.371"	"244.853"	"62.038"	"0.363"
"1951"	"2.794"	"0.611"	"41.628"	"208.629"	"472.064"	"936.141"	"913.961"	"555.271"	"305.658"	"437.646"	"25.796"	"2.892"
"1952"	"1.906"	"6.537"	"139.67"	"194.707"	"717.685"	"418.166"	"696.198"	"711.731"	"536.744"	"397.63"	"53.325"	"0.043"
"1953"	"21.72"	"5.997"	"236.551"	"183.017"	"520.751"	"752.228"	"713.232"	"360.64"	"630.045"	"91.647"	"2.817"	"11.672"
"1954"	"15.27"	"32.498"	"6.381"	"215.254"	"683.478"	"906.908"	"834.284"	"697.518"	"324.44"	"124.621"	"0.304"	"16.555"
"1955"	"5.812"	"9.1"	"132.363"	"279.17"	"394.107"	"808.571"	"941.904"	"474.352"	"343.258"	"166.275"	"56.779"	"10.302"
"1956"	"15.687"	"1.813"	"144.09"	"208.687"	"836.177"	"1469.669"	"551.358"	"639.599"	"268.549"	"151.833"	"36.654"	"3.075"
"1957"	"24.228"	"18"	"11.887"	"178.921"	"679.768"	"573.428"	"886.081"	"647.337"	"249.069"	"96.488"	"5.347"	"18.324"
"1958"	"16.632"	"38.513"	"12.828"	"214.488"	"785.972"	"359.628"	"518.39"	"873.378"	"365.238"	"128.187"	"3.236"	"4.635"
"1959"	"36.47"	"9.725"	"112.206"	"213.325"	"716.746"	"837.255"	"501.988"	"410.012"	"306.222"	"304.962"	"4.392"	"0.718"
"1960"	"0.057"	"0.891"	"42.562"	"59.955"	"616.642"	"521.644"	"888.091"	"351.273"	"462.619"	"96.063"	"12.878"	"3.227"
"1961"	"3.297"	"10.168"	"124.027"	"157.743"	"361.535"	"804.258"	"762.631"	"699.908"	"408.143"	"142.836"	"16.506"	"1.402"
"1962"	"16.473"	"18.237"	"15.351"	"108.024"	"389.623"	"785.295"	"393.647"	"463.295"	"54.99"	"122.632"	"1.12"	"1.795"
"1963"	"1.874"	"5.213"	"74.058"	"204.436"	"483.541"	"791.702"	"816.04"	"627.982"	"333.668"	"125.082"	"14.986"	"5.004"
"1964"	"3.871"	"19.354"	"109.662"	"334.61"	"454.281"	"970.137"	"859.199"	"414.538"	"259.395"	"262.746"	"14.601"	"1.212"
"1965"	"0.147"	"42.91"	"103.144"	"268.703"	"546.868"	"813.43"	"741.762"	"615.115"	"333.662"	"69.502"	"49.543"	"1.572"
